Nr,Name,country,Political_group,Party,Institution,mandate,post_mandate_activities,category_pie,category_bar,Brussels_lobbying,Number_activities,Link_source,Link_profile,On_JTR,Link_JTR,Comments,party2,Description,Paid or unpaid (a blank entry means it is not clear),Answers,Certified,Date of Commission authorisation,Based on advice from Ad hoc Ethical Committee?,Link to authorisation in College of Commissioners' minutes,"Link to Commission authorisation documents, released under freedom of information rules. Click on the links to read the documents"
96726,Marije Cornelissen,Netherlands,Greens/EFA,GreenLeft,European parliament,MEP,Executive Director of the UN National Committee in the Netherlands ,Public Service,Public sector,no,,http://www.nederlandsevrouwenraad.nl/docs/Statement_Marije_Cornelissen_AVVN.pdf,,No,,,,,,,,,,,
96944,Marina Yannakoudakis,United Kingdom,ECR,Conservative Party,European parliament,MEP,Consultant on women's rights for the EESC. ,Public Service,Public sector,no,,http://memberspage.eesc.europa.eu/Search/Details/Person/2032962,,No,,,,,,,,,,,
119439,Marino Baldini,Croatia,S&D,Social Democratic Party,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,,No further info ,,,,,,,
96973,Mário David,Portugal,EPP,Social Democratic Party,European parliament,MEP,Member of the Strategic Board of BANIF (Bank) ,Private Sector,Company and Group,no,,https://goo.gl/IB0cAS,,No,,,,,,,,,,,
4393,Mario Mauro,Italy,EPP,Democratic Partyl,European parliament,MEP,Senator,Public Service,Elected office,no,,http://www.senato.it/leg/17/BGT/Schede/Attsen/00029135.htm,,No,,,,,,,,,,,
96890,Mario Pirillo,Italy,S&D,Democratic Party,European parliament,MEP,Appears to be retired,Other,Retired / Deceased,no,,https://it.wikipedia.org/wiki/Mario_Pirillo,,No,,,PD,,,,,,,,
96954,Marta Andreasen,United Kingdom,ECR,Conservative Party[1],European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,,,,,,,,,
4536,Martin Callanan,United Kingdom,ECR,Conservative Party,European parliament,MEP,Director of MC Associates,Private Sector,Consultancy,yes ,4,http://www.parliament.uk/mps-lords-and-offices/standards-and-interests/register-of-lords-interests/?letter=C,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=171298025234-65,,,,,,,,,,
4536,Martin Callanan,United Kingdom,ECR,Conservative Party,European parliament,MEP,Member of the House of Lords,Public Service,Elected office,no ,,http://www.parliament.uk/mps-lords-and-offices/standards-and-interests/register-of-lords-interests/?letter=C,,No,,,,,,,,,,,
4536,Martin Callanan,United Kingdom,ECR,Conservative Party,European parliament,MEP,Non-Executive director for Aquind Ltd,Private Sector,Companies and Groups,,,http://www.parliament.uk/mps-lords-and-offices/standards-and-interests/register-of-lords-interests/?letter=C,,No,,,,,,,,,,,
4536,Martin Callanan,United Kingdom,ECR,Conservative Party,European parliament,MEP,Chairman of the Freedom House Printing Press project in Kyrgystan,NGO,NGO,,,http://www.parliament.uk/mps-lords-and-offices/standards-and-interests/register-of-lords-interests/?letter=C,,No,,,,,,,,,,,
39769,Martin Ehrenhauser,Austria,NI,Hans-Peter Martin's List,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,https://de.wikipedia.org/wiki/Martin_Ehrenhauser,,No,,,,Active on twitter. Current occupation unkmown,,,,,,,
25919,Martin Kastler,Germany,EPP,Christian Social Union (Bavaria),European parliament,MEP,National Chairman of Ackermann-Gemeinde (community of the catholic churches),NGO,Religious community,no,,http://www.ackermann-gemeinde.de/publikationen/portraet-martin-kastler-mdep.html?L=2%,,No,,,,,,,,,,,
37524,Marusya Lyubcheva,Bulgaria,S&D,Bulgarian Socialist Party,European parliament,MEP,Member of the Bulgarian parliament ,Public Service,Elected office,no,,http://www.parliament.bg/en/MP/781,,No,,,BSP,,,,,,,,
2247,Mathieu Grosch,Belgium,EPP,Christian Social Party,European parliament,MEP,TEN-T coordinator for European Commission ,Public Service,Public sector,no,,https://ec.europa.eu/transport/themes/infrastructure/ten-t-guidelines/european-coordinators/mathieu-grosch_en,,No,,,,,,,,,,,
38613,Metin Kazak,Bulgaria,ALDE,Movement for Rights and Freedoms,European parliament,MEP,"Ambassador of the Republic of Bulgaria in Doha, State of Qatar",Public Service,Public sector,no,,https://www.embassypages.com/missions/embassy22672/,,No,,,,,,,,,,,
4532,Michael Cashman,United Kingdom,S&D,National Liberal Party,European parliament,MEP,Member of the House of Lords ,Public Service,Elected office,no,,https://www.parliament.uk/biogRaphaelies/lords/lord-cashman/4340,,No,,,PNL ,,,,,,,,
96909,Michail Tremopoulos,Greece,Greens/EFA,Ecologist Greens,European parliament,MEP,Co-President of Antigone ,NGO,NGO,no,,http://www.antigone.gr/en/staff/,,No,,,,,,,,,,,
23792,Michal Tomasz Kaminski,Poland,ECR,Law and Justice / Poland Comes First,European parliament,MEP,Partner at Prism Group,Private Sector,Consultancy,yes ,,https://corporateeurope.org/revolvingdoorwatch/cases/micha-kami-ski,,No,,,,,,,,,,,
72776,Michel Barnier,France,EPP,Union for a Popular Movement,European parliament,MEP,Chief Negotiator in charge of the Preparation and Conduct of the Negotiations with the United Kingdom under Article 50 of the TEU,Public Service,Public sector,No,4,https://ec.europa.eu/info/persons/director-head-service-michel-barnier_en,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Barnier%2C_Michel-9568.jpg/330px-Barnier%2C_Michel-9568.jpg,No,,,UMP,,,,,,,,
72776,Michel Barnier,France,EPP,Union for a Popular Movement,European parliament,MEP,Special Adviser to Jean-Claude Juncker on European Defence and Security Policy,Public Service,Public sector,No,,http://europa.eu/rapid/press-release_IP-15-4437_en.htm,,No,,,UMP,,,,,,,,
72776,Michel Barnier,France,EPP,Union for a Popular Movement,European parliament,MEP,Member of the State Council (France's highest administrative court),Public Service,Public sector,No,,http://www.conseil-etat.fr/Actualites/Colloques-Seminaires-Conferences/Quelle-gouvernance-pour-la-zone-euro,,No,,,UMP,,,,,,,,
72776,Michel Barnier,France,EPP,Union for a Popular Movement,European parliament,MEP,Member of the Board of Trustees of Friends of Europe ,Academia,Think tank,Yes,,http://www.friendsofeurope.org/who-we-are/board-of-trustees/,,Yes,,,UMP,,,,,,,,
96860,Michèle Striffler,France,EPP,Modern Left,European parliament,MEP,National Secretary of the UDI,Public Service,Political party,no,2,http://www.mulhouse.fr/fr/En-Avant-Mulhouse/michele-striffler.html?highlight=sud,,No,,,,,,,,,,,
96860,Michèle Striffler,France,EPP,Modern Left,European parliament,MEP,Delegate for Animal Welfare in Mulhouse,Public Service,Public sector,no,,http://www.mulhouse.fr/fr/En-Avant-Mulhouse/michele-striffler.html?highlight=sud,,No,,,,,,,,,,,
4346,Miguel Angel Martínez Martínez,Spain,S&D,Socialist Workers' Party,European parliament,MEP,Retired (born in 1940),Other,Retired / Deceased,no,,https://es.wikipedia.org/wiki/Miguel_%C3%81ngel_Mart%C3%ADnez_Mart%C3%ADnez,,No,,,PSOE,,,,,,,,
28406,Miguel Portas,Portugal,GUE/NGL,Left Bloc,European parliament,MEP,Deceased in April 2012,Other,Retired / Deceased,no,,https://pt.wikipedia.org/wiki/Miguel_Portas,,No,,,BE,,,,,,,,
109649,Mikael Gustafsson,Sweden,GUE/NGL,Left Party,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,V,Confirm,,,,,,,
28506,Mike Nattrass,United Kingdom,NI,An Independence from Europe,European parliament,MEP,Director of Natrass Booth Commercial (real estate),Private Sector,Company and Group,no,2,http://www.nbagency.co.uk/news/the-boys-are-back-in-town/,,No,,,,,,,,,,,
28506,Mike Nattrass,United Kingdom,NI,An Independence from Europe,European parliament,MEP,Fellow of the Royal Institution of Chartered Surveyors,Academia,University,no,,http://www.aipmep.org/,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=12309911354-39,,,,,,,,,,
28324,Milan Cabrnoch,Czech Republic,ECR,Civic Democratic Party,European parliament,MEP,Chairman of the regional council of Coloogne of the Civic Democratic Party,Public Service,Political party,no,,http://www.ods.cz/os.kolin/profil/milan-cabrnoch,,No,,,,"Check. I would make this ""potential""",,,,,,,
113597,Minodora Cliveti,Romania,S&D,Social Democratic Party,European parliament,MEP,"Lawyer at her own Lawyer office ""Cliveti&Cliveti""Bacau",Private Sector,Law firm,no,,https://ro.wikipedia.org/wiki/Minodora_Cliveti,,No,,,PSD,,,,,,,,
23705,Miroslav Ouzký,Czech Republic,ECR,Civic Democratic Party,European parliament,MEP,Expert at  ARC - MED . R. O (Private Health clinic) ,Private Sector,Company and Group,no,,https://cs.wikipedia.org/wiki/Miroslav_Ouzk%C3%BD,,No,,,,,,,,,,,
96686,Mitro Repo,Finland,S&D,Social Democratic Party,European parliament,MEP,Self-employed business consultant,Private sector,Consultancy,no,2,http://www.mitrorepo.fi/curriculum_vitae,,No,,,,,,,,,,,
96686,Mitro Repo,Finland,S&D,Social Democratic Party,European parliament,MEP,Reverend father for the Orthodox Church of Finland,NGO,Religious community,no,,http://www.mitrorepo.fi/curriculum_vitae,,No,,,,,,,,,,,
23413,Mojca Kleva Kekuš,Slovenia,S&D,Social Democrats,European parliament,MEP,Expert in EU decision-making,Unknown,Unknown,Unknown,0,https://goo.gl/Dzhmxc,,No,,,SD,What exactly is she doing? Where is she experting?,,,,,,,
116663,Monika Panayotova,Bulgaria,EPP,Citizens for European Development of Bulgaria,European parliament,MEP,"General Manager of Inno Advisers Ltd, owned by COMAC Medical Ltd.",Private Sector,Consultancy,yes,3,http://gemorg.bg/about-us/team/,,No,,,,,,,,,,,
116663,Monika Panayotova,Bulgaria,EPP,Citizens for European Development of Bulgaria,European parliament,MEP,Member of the Advisory Board of the Bulgarian Memory Foundation,NGO,NGO,no,,http://gemorg.bg/about-us/team/,,No,,,,,,,,,,,
116663,Monika Panayotova,Bulgaria,EPP,Citizens for European Development of Bulgaria,European parliament,MEP,Program Manager “Europe” at the Sofia Defence Forum,Academia,Think tank,no,,http://gemorg.bg/about-us/team/,,No,,,,,,,,,,,
116663,Monika Panayotova,Bulgaria,EPP,Citizens for European Development of Bulgaria,European parliament,MEP,Member of the managing board GEM Bulgaria ,Academia,Think tank,no,,http://gemorg.bg/about-us/team/,,No,,,,,,,,,,,
96861,Nadezhda Neynsky,Bulgaria,EPP,Blue coalition,European parliament,MEP,Ambassador of Bulgaria in Turkey,Public Service,Public sector,no,2,https://en.wikipedia.org/wiki/Nadezhda_Neynsky,,No,,,,Check,,,,,,,
96861,Nadezhda Neynsky,Bulgaria,EPP,Blue coalition,European parliament,MEP,Board Member of SME Europe ,Private Sector,Business association,yes ,,http://www.smeeurope.eu/introduction/team-2/,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=281497021902-93,,,,,,,,,,
96872,Nadja Hirsch,Germany,ALDE,Free Democratic Party,European parliament,MEP,Deputy Managing Director at Verlagsgruppe Handelsblatt Global Edition,Private Sector,Company and Group,no,2,http://www.politik-kommunikation.de/personalwechsel/hirsch-ist-stellvertretende-geschaeftsfuehrerin-der-handelsblatt-global-edition,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=028583716519-85,,,,,,,,,,
96872,Nadja Hirsch,Germany,ALDE,Free Democratic Party,European parliament,MEP,Head of Communications at Raisin GmbH,Private Sector,Company and Group,no,,https://www.raisin.com/app/uploads/2015/04/la4_pressemappe_eu_7_16.pdf,,No,,,,,,,,,,,
97229,Niccolò Rinaldi,Italy,ALDE,Italy of Values,European parliament,MEP,Writer,Unknown,Unknown,Unknown,0,https://it.wikipedia.org/wiki/Niccol%C3%B2_Rinaldi,,No,,,,,,,,,,,
96751,Nick Griffin,United Kingdom,NI,British National Party,European parliament,MEP,President of British Unity (political party),Public Service,Political party,no,2,https://britishunity2020.com/who-we-are/,,No,,,BNP,,,,,,,,
96751,Nick Griffin,United Kingdom,NI,British National Party,European parliament,MEP,Deputy Chairman of the executive board of the Alliance for Peace and Freedom (AFP),Public Service,Political party,no,,https://apfeurope.com/our-members/#,,No,,,BNP,,,,,,,,
96737,Nicole Kiil-Nielsen,France,Greens/EFA,Europe Ecology,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,,,,,,,,,
96960,Nicole Sinclaire,United Kingdom,NI,We Demand a Referendum,European parliament,MEP,No information available; ,Unknown,Unknown,Unknown,0,,,No,,,,TI UK: not in prison,,,,,,,
96660,Niki Tzavela,Greece,EFD,Popular Orthodox Rally,European parliament,MEP,Board of Directors of the Arab International Women's Forum,NGO,NGO,no,2,http://www.aiwfonline.com/AboutUs/BoardOfDirectors.aspx,,No,,,,,,,,,,,
96660,Niki Tzavela,Greece,EFD,Popular Orthodox Rally,European parliament,MEP,Member of the Parliamentarians Network for Conflict Prevention,NGO,NGO,no,,http://pncp.net/Members,,No,,,,,,,,,,,
112760,Nikola Vuljanic,Croatia,GUE/NGL,Croatian Workers Party,European parliament,MEP,Retired,Unknown,Unknown,Unknown,0,https://en.wikipedia.org/wiki/Nikola_Vuljani%C4%87,,No,,,,Probably retired,,,,,,,
99416,Nikolaos Salavrakos,Greece,EFD,popular Orthodox Rally,European parliament,MEP,Retired,Other,Retired / Deceased,no,,https://goo.gl/LxDw9o,,No,,,LAOS,,,,,,,,
111823,Nikos Chrysogelos,Greece,Greens/EFA,Ecologist Greencs,European parliament,MEP,Head of Winds of Renewal Social Cooperative active in Greece,NGO,NGO,no,,http://www.annalindhfoundation.org/members/anemos-ananeosis-wind-renewal,,No,,,,Mostly implementing projects for refugees in Greece,,,,,,,
96947,Nora Berra,France,EPP,Union for a Popular Movement,European parliament,MEP,Regional Counsellor of Lyon Townhall,Public Service,Elected office,no,,https://fr.wikipedia.org/wiki/Nora_Berra,,No,,,UMP,,,,,,,,
1902,Norbert Glante,Germany,S&D,Social Democratic Party,European parliament,MEP,Partner at PKS Kommunikations- und Strategieberatung GmbH,Private Sector,Consultancy,yes,,http://www.pks-gmbh.net/personen/,,No,,,,Recheck how much focus on EU lobbying or just German lobbying?,,,,,,,
96974,Nuno Teixeira,Portugal,EPP,Social Democratic Party,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,,Confirm,,,,,,,
28323,Oldrich Vlasák,Czech Republic,ECR,Civic Democratic Party,European parliament,MEP,Councillor for the Kralove region  ,Public Service,Elected office,no,2,https://cs.wikipedia.org/wiki/Ivo_Strej%C4%8Dek,,No,,,,,,,,,,,
28323,Oldrich Vlasák,Czech Republic,ECR,Civic Democratic Party,European parliament,MEP,Municipal Councillor for the town of Hrqdjec Kralove,Public Service,Elected office,no,,https://cs.wikipedia.org/wiki/Ivo_Strej%C4%8Dek,,No,,,,,,,,,,,
119440,Oleg Valjalo,Croatia,S&D,Social Democratic Party,European parliament,MEP,"Member of the Board, Hrvatska Lutrija (Online Gambling website)",Private Sector,Company and Group,no,,https://www.lutrija.hr/cms/Upoznajtenas,,No,,,,,,,,,,,
4274,Olle Schmidt,Sweden,ALDE,Liberal People's Party,European parliament,MEP,Senior Consultant at Hume Brophy,Private Sector,Consultancy,yes ,,https://corporateeurope.org/revolvingdoorwatch/cases/olle-schmidt,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=3843982938-44,,,,,,,,,,
97196,Oreste Rossi,Italy,EFD,North League,European parliament,MEP,Unknown ,Unknown,Unknown,Unknown,0,,,No,,,LN,,,,,,,,
96708,Oriol Junqueras Vies,Spain,Greens/EFA,Republican Left of Catalonia,European parliament,MEP,Vice President of Catalan Government,Public Service,Elected office,no,,http://www.govern.cat/pres_gov/AppJava/govern/govern/consell-executiu/84/oriol-junqueras-vies.html?mode=static,,No,,,,,,,,,,,
33991,Ovidiu Ioan Silaghi,Romania,ALDE,National Liberal Party,European parliament,MEP,Member of the Romanian parliament (Chamber of Deputies) for Satu Mare County,Public Service,Elected office,no,,http://www.cdep.ro/pls/parlam/structura.mp?idm=290&leg=2012&cam=2,,No,,,PNL,,,,,,,,
96808,Pablo Arias Echeverría,Spain,EPP,People's Party,European parliament,MEP,Member of the Administrative Council of Telemadrid,Public Service,Public sector,no,,http://transparencia.telemadrid.es/documentos/CONSEJO.Democratic Partyf,,No,,,PP,,,,,,,,
28133,Pál Schmitt,Hungary,EPP,Fidesz–Hungarian Civic Union,European parliament,MEP,Honorary President of the Hungarian Olympic Committee,Public Service,Public sector,no,,https://en.wikipedia.org/wiki/P%C3%A1l_Schmitt,,No,,,,,,,,,,,
21818,Paolo Bartolozzi,Italy,EPP,Forza italia ,European parliament,MEP,Retired ,Other,Retired / Deceased,no,,http://www.lanazione.it/cronaca/difesa-vitalizio-consiglieri-regionali-toscana-1.2622701,,No,,,,Article states that he is retired,,,,,,,
96711,Pascal Canfin,France,Greens/EFA,Europe Ecology,European parliament,MEP,Head of the French section of WWF,NGO,NGO,no,,http://www.wwf.fr/vous_informer/?6321/Pascal-Canfin-nomme-Directeur-general-du-WWF-France,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=905744424701-18,,,,,,,,,,
96983,Pascale Gruny,France,EPP,Union for a Popular Movement,European parliament,MEP,Senator in French senate,Public Service,Elected office,no,2,https://www.senat.fr/senateur/gruny_pascale14026u.html,,No,,,UMP,,,,,,,,
96983,Pascale Gruny,France,EPP,Union for a Popular Movement,European parliament,MEP,Vice-President of the Aisne Council,Public Service,Elected office,no,,http://aisne.com/Vos-elus,,No,,,,,,,,,,,
2125,Pat The Cope Gallagher,Ireland,ALDE,Fianna Fáil,European parliament,MEP,Member of the lower house of the Irish parliament ,Public Service,Elected office,no,,https://goo.gl/NxZlc4,,No,,,,,,,,,,,
97026,Patrice Tirolien,France,S&D,Socialist Party,European parliament,MEP,Retired,Other,Retired / Deceased,no,,https://fr.wikipedia.org/wiki/Patrice_Tirolien,,No,,,PS,,,,,,,,
115868,Patricia Van Der Kammen,Netherlands,NI,Party for Freedom,European parliament,MEP,Controller at Tilburg University for Library and IT services,Academia,University,no,2,https://www.tilburguniversity.edu/nl/webwijs/show/p.vdrkammen_nl.htm,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=496194625167-31,,,,,,,,,,
115868,Patricia Van Der Kammen,Netherlands,NI,Party for Freedom,European parliament,MEP,Member of the Noord Brabant Provincial Staten (regional assembly),Public Service,Elected office,no,,https://www.brabant.nl/politiek-en-bestuur/provinciale-staten/statenleden-en-fracties/statenleden/kammen_patricia-van-der.aspx,,No,,,PVV,,,,,,,,
97344,Paul Murphy,Ireland,GUE/NGL,Socialist Party,European parliament,MEP,Member of the Irish parliament,Public Service,Elected office,no,,https://goo.gl/9Av3Z0,,No,,,,,,,,,,,
96793,Pawel Robert Kowal,Poland,ECR,Law and Justice / Poland Comes First,European parliament,MEP,Head of the National Council of the Poland Comes First party,Public Service,Political party,no,,http://polskarazem.pl/wladze-krajowe/,,No,,,,,,,,,,,
96777,Pawel Zalewski,Poland,EPP,Civic Platform,European parliament,MEP,Board Member: Instytut Obywatelski (research and policy institute for the Civic Platform),Academia,University,no,,https://pl.wikipedia.org/wiki/Pawe%C5%82_Zalewski,,No,,,,Check this. Media?,,,,,,,
2081,Peter Skinner,United Kingdom,S&D,Labour Party,European parliament,MEP,Sentenced to 4 years of imprisonment in April 2016 of falsely claiming MEP expenses,Other,Prison,no,,https://corporateeurope.org/revolvingdoorwatch/cases/peter-skinner,,No,,,,Expenses scandal conviction,,,,,,,
28170,Peter Štastný,Slovakia,EPP,Democratic and Christian Union–Democratic Party,European parliament,MEP,Member of the Advisory Board of the Nanovic Institute for European Studies. ,Academia,University,no,,http://nanovic.nd.edu/about/people/advisory-board/peter-stastny/,,No,,,,,,,,,,,
96823,Petru Constantin Luhan,Romania,EPP,Democratic Liberal Party,European parliament,MEP,Managing Director of EMAS Business Consulting,Private Sector,Consultancy,yes ,,http://www.emasconsulting.com/en/index.php/founders,,No,,,,Consultancy specifically geared towards obtaining EU funding ,,,,,,,
112014,Phil Bennion,United Kingdom,ALDE,Liberal Democrats,European parliament,MEP,Chairman of the Liberal International British Group and farmer ,Public Service,Political party,no,,http://www.liberal-international.org/site/Committee_and_Working_Groups.html,,No,,,LibDem,Lobbying or not ? Probably political party,,,,,,,
107386,Phil Prendergast,Ireland,S&D,Socialist Workers' Party,European parliament,MEP,Self-employed at Clonmel Healthcare ,Private Sector,Self-employed,no,,https://www.facebook.com/phil.prendergast.54,,No,,,PSOE,,,,,,,,
24030,Philip Claeys,Belgium,NI,Flemish Interest,European parliament,MEP,Vice-President of the Vlaams Belang party ,Public Service,Political party,no,,http://www.vlaamsbelang.org/partijbestuur/,,No,,,,No furthe info available ,,,,,,,
105624,Philippe Boulland,France,EPP,Union for a Popular Movement,European parliament,MEP,Doctor,Private Sector,Self-employed,no,,http://www.leparisien.fr/espace-premium/oise-60/cabinet-medical-menace-le-medecin-denonce-l-inaction-de-la-mairie-13-10-2016-6200046.php,,No,,,UMP,,,,,,,,
2212,Philippe De Villiers,France,EFD,Movement for france,European parliament,MEP,President of the Movement for France,Private Sector,Company and Group,no,,https://fr.wikipedia.org/wiki/Philippe_de_Villiers,,No,,,,,,,,,,,
97228,Pino Arlacchi,Italy,ALDE,Democratic Party,European parliament,MEP,International Affairs Advisor for Itinera,Private Sector,Company and Group,no,2,http://www.open-iran.com/view/EN/20416.aspx,,No,,,,,,,,,,,
97228,Pino Arlacchi,Italy,ALDE,Democratic Party,European parliament,MEP,Writer,Private Sector,Self-employed,no,,http://www.open-iran.com/view/EN/20416.aspx,,No,,,,,,,,,,,
96799,Piotr Borys,Poland,EPP,Civic Platform,European parliament,MEP,Director of the Office of Preparation of Investments of national railway company PKP,Private Sector,Company and Group,no,,http://www.plk-sa.pl/kontakt/centrala-spolki/,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=237300824908-30,,,Works for the national railcompany,,,,,,,
96889,Potito Salatto,Italy,EPP,Future and Freedom,European parliament,MEP,Deceased,Other,Retired / Deceased,no,,https://it.wikipedia.org/wiki/Potito_Salatto,,No,,,FLI,,,,,,,,
116816,Preslav Borissov,Bulgaria,EPP,Citizens for European Development of Bulgaria,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,,No link found,,,,,,,
1289,Proinsias De Rossa,Ireland,S&D,Labour Party,European parliament,MEP,Chair of TASC (Think Tank for Action on Social Change),Academia,Think tank,no,,http://www.tasc.ie/about/board.html,,No,,,,,,,,,,,
96695,Radvile Morkunaite-Mikuleniene,Lituania,EPP,Homeland Union,European parliament,MEP,Elected to Lithuanian National Assembly on 9th of October 2016,Public Service,Elected office,no,,http://www.lrs.lt/sip/portal.show?p_r=8801&p_k=2&p_a=seimo_narys&p_asm_id=48538,,No,,,,Could not find source online but certified by TI-LT,,,,,,,
96773,Rafal Trzaskowski,Poland,EPP,Civic Platform,European parliament,MEP,Polish MP,Public Service,Elected office,no,,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=407,,No,,,,,,,,,,,
96757,Raffaele Baldassarre,Italy,EPP,Forza italia ,European parliament,MEP,Lawyer,Private Sector,Law firm,no,,https://it.wikipedia.org/wiki/Raffaele_Baldassarre,,No,,,,,,,,,,,
4328,Raimon Obiols,Spain,S&D,Socialist Workers' Party,European parliament,MEP,Retired,Other,Retired / Deceased,no,,https://ca.wikipedia.org/wiki/Raimon_Obiols_i_Germ%C3%A0,,No,,,PSOE,,,,,,,,
39714,Rares-Lucian Niculescu,Romania,EPP,Democratic Liberal Party,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,,Confirm,,,,,,,
28409,Raül Romeva I Rueda,Spain,Greens/EFA,The Left ( Initiative for Catalonia Greens),European parliament,MEP,"Minister of Foreign Affairs, Institutional Relations & Transparency, Catalan Government.",Public Service,Elected office,no,,https://goo.gl/dPBGmK,,No,,,,,,,,,,,
112620,Rebecca Taylor,United Kingdom,ALDE,Liberal Democrats,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,LibDem,,,,,,,,
5956,Regina Bastos,Portugal,EPP,Social Democratic Party,European parliament,MEP,"Member of the National Assembly of Portugal, President of the Commission for European Affairs",Public Service,Elected office,no,,https://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=2106,,No,,,,,,,,,,,
1122,Ria Oomen-Ruijten,Netherlands,EPP,Christian Democratic Appeal,European parliament,MEP,Senator for the Netherlands parliament,Public Service,Elected office,no,,https://www.eerstekamer.nl/persoon/m_g_h_c_oomen_ruijten_cda,,No,,,CDA,,,,,,,,
96987,Ricardo Cortés Lastra,Spain,S&D,Socialist Workers' Party,European parliament,MEP,Member of Congress of Spain,Public Service,Elected office,no,,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=353&idLegislatura=12,,No,,,PSOE,,,,,,,,
23840,Richard Falbr,Czech Republic,S&D,Social Democratic Party,European parliament,MEP,Retired,Other,Retired / Deceased,no,,https://cs.wikipedia.org/wiki/Richard_Falbr,,No,,,,,,,,,,,
28252,Richard Seeber,Austria,EPP,Austrian People's Party,European parliament,MEP,Representation of Tirol in Brussels,Public Service,Public sector,no,,https://www.tirol.gv.at/tirol-europa/tirolereuropapolitik/tirol-buero-bruessel/,,No,,,OVP,,,,,,,,
96685,Riikka Pakarinen,Finland,ALDE,Centre Party ,European parliament,MEP,Manager of Government Relations and Bioeconomy for the Finnish Forest Industry Federation,Private Sector,Business association,yes ,,https://fi.wikipedia.org/wiki/Riikka_Pakarinen,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=39671713910-36,,,As a lobbyist or a wood-chuck?,,,,,,,
96916,Rita Borsellino,Italy,S&D,Democratic Party,European parliament,MEP,President of Libers (anti-mafia association),Academia,University,no,3,https://centropaoloborsellino.com/lo-statuto/,,No,,,PD,,,,,,,,
96916,Rita Borsellino,Italy,S&D,Democratic Party,European parliament,MEP,"Honorary President of ""Associazione Piera Cutino''",NGO,NGO,no,,http://www.pieracutino.it/il-presidente-onorario-rita-borsellino/,,no,,,,,,,,,,,
96916,Rita Borsellino,Italy,S&D,Democratic Party,European parliament,MEP,President of the Study Centre Paolo Borselino,NGO,NGO,no,,https://centropaoloborsellino.com/lo-statuto/,,No,,,,,,,,,,,
96717,Robert Dušek,Czech Republic,S&D,Social Democratic Party,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,https://cs.wikipedia.org/wiki/Robert_Du%C5%A1ek,,No,,,,,,,,,,,
4429,Robert Goebbels,Luxembourg,S&D,Socialist Workers' Party,European parliament,MEP,Governor for Luxembourg in the ASIA-Europe Foundation,NGO,NGO,no,,http://www.asef.org/about/organisation/board-of-governors,,No,,,,,,,,,,,
2037,Robert Sturdy,United Kingdom,ECR,Conservative Party,European parliament,MEP,Unknown,Unknown,Unknown,Unknown,0,https://en.wikipedia.org/wiki/Robert_Sturdy,,No,,,,,,,,,,,
1941,Roberta Angelilli,Italy,EPP,New Centre Right ,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,http://www.nuovocentrodestra.it/coordinatori-regionali-e-di-grandi-citta/,,No,,,NCD,No longer a regional coordinator. Is active in the no campaign for the referendum on the reform of the state ,,,,,,,
125380,Roberto Dietrich,Romania,ALDE,National Liberal Party,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,PNL,Confirm,,,,,,,
4482,Rodi Kratsa-Tsagaropoulou,Greece,EPP,New Democracy,European parliament,MEP,Member of the Konstantinos Karamanlis Institute for Democracy,Academia,Think tank,no,,https://en.wikipedia.org/wiki/Rodi_Kratsa-Tsagaropoulou,,No,,,ND,,,,,,,,
