Nr ,Name,Country,Political_group,Party,Institution,mandate,post_mandate_activities,category_pie ,category_bar,Brussels_lobbying,Number of Activities,Link_source,pre_mandate_activity orginal,pre_mandate_activity,Category pie,category_bar2,Link_DOI,Link_profile,party2,Description ,Paid_unpaid,Answers,Certified,Date of Commission authorisation,Based on advice from Ad hoc Ethical Committee?,Link to authorisation in College of Commissioners' minutes,"Link to Commission authorisation documents, released under freedom of information rules. Click on the links to read the documents"
4346,Miguel Angel MARTÍNEZ MARTÍNEZ,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,Retired (born in 1940),Others,Retired,no,,https://es.wikipedia.org/wiki/Miguel_%C3%81ngel_Mart%C3%ADnez_Mart%C3%ADnez,MEP3,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/4346_28-02-2012_Rev2.pdf,,PSOE,,,,,,,,
28406,Miguel PORTAS,Portugal,GUE/NGL,Left Bloc,European Parliament,MEP,died in April 2012,Others,Deceased,no,,https://pt.wikipedia.org/wiki/Miguel_Portas,"Radio columnist, writer","Radio columnist, writer",Private sector,Media,http://www.europarl.europa.eu/ep-dif/28406_21-03-2012.pdf,,BE,,,,,,,,
109649,Mikael GUSTAFSSON,Sweden,GUE/NGL,Left Party,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,,"Parliamentary Assistant, Dublin City Councellor",Elected office and public sector,Public sector,http://www.europarl.europa.eu/ep-dif/109649_28-03-2012.PDF,,V,Confirm,,,,,,,
28506,Mike NATTRASS,United Kingdom,NI,An Independence from Europe,European Parliament,MEP,Director of Natrass Booth Commercial (real estate),Private Sector,Companies and Groups,no,2,https://goo.gl/sWvWNZ,MEP since 20043000000000000000000000000000000000000000000000000000000000000000,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/28506_27-02-2012_Rev2.pdf,,,,,,,,,,
28506,Mike NATTRASS,United Kingdom,NI,An Independence from Europe,European Parliament,MEP,fellow of the Royal Institution of Chartered Surveyors,Academia,Academic,no,,,MEP since 20043000000000000000000000000000000000000000000000000000000000000000,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/28506_27-02-2012_Rev2.pdf,,,,,,,,,,
28324,Milan CABRNOCH,Czech Republic,ECR,Civic Democratic Party,European Parliament,MEP,Pediatrician - independent consultant in health and social services - Deputy Chairman of the Civic Democratic Party,Private Sector,Consultancies,no,2,https://goo.gl/86Hb9Q,,MP for the Czech Parliament,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/28324_14-03-2012.pdf,,,"Check. I would make this ""potential""",,,,,,,
28324,Milan CABRNOCH,Czech Republic,ECR,Civic Democratic Party,European Parliament,MEP, Deputy Chairman of the Civic Democratic Party,Elected office & public sector,Political parties,no,,https://goo.gl/86Hb9Q,,MP for the Czech Parliament,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/28324_14-03-2012.pdf,,,,,,,,,,
113597,Minodora CLIVETI,Romania,S&D,Social Democratic Party,European Parliament,MEP,"lawyer at her own lawyer office ""Cliveti&Cliveti""Bacau",Private Sector,Law firms,no,,https://ro.wikipedia.org/wiki/Minodora_Cliveti,"Asociatia Misearea pentru Egalitate, [ne-discriminare?] si oportunitati Sociale MENOA, neremunerate000Activitati MENOS neremunerate0000000",Parliamentary Pensions ,Others,Others,http://www.europarl.europa.eu/ep-dif/113597_17-05-2012.pdf,,PSD,,,,,,,,
23705,Miroslav OUZKÝ,Czech Republic,ECR,Civic Democratic Party,European Parliament,MEP,Expert at  ARC - MED . R. O (Private Health clinic) ,Private Sector,Companies and Groups,no,,https://www.linkedin.com/in/miroslav-ouzk%C3%BD-9b677249,Member of the European Parliament3Odborný garant NZZ,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/23705_18-12-2012_Rev2.pdf,,,,,,,,,,
96686,Mitro REPO,Finland,S&D,Social Democratic Party,European Parliament,MEP,Lecturer at MitroFoni Oy,Academia,Academic,no,2,https://www.linkedin.com/in/mitrorepo,,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/96686_28-02-2012.pdf,,,,,,,,,,
96686,Mitro REPO,Finland,S&D,Social Democratic Party,European Parliament,MEP,Reverend father for the orthodox church of finland,Others,Religious communities,no,,https://www.linkedin.com/in/mitrorepo,,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/96686_28-02-2012.pdf,,,,,,,,,,
23413,Mojca KLEVA KEKUŠ,Slovenia,S&D,Social Democrats,European Parliament,MEP,Expert in EU decision-making,Unknown,Unknown,Unknown,,https://goo.gl/Dzhmxc,,"Boardmember of the European Woman's lobby, untranslatable ",NGOs,NGOs ,http://www.europarl.europa.eu/ep-dif/23413_09-01-2012.pdf,,SD,What exactly is she doing? Where is she experting?,,,,,,,
116663,Monika PANAYOTOVA,Bulgaria,EPP,Citizens for European Development of Bulgaria,European Parliament,MEP,"General Manager of Inno Advisers Ltd, owned by COMAC Medical Ltd.",Private Sector,Consultancies,yes ,3,https://www.linkedin.com/in/monika-panayotova-phd-113a00a2,,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/116663_06-12-2012.pdf,,,,,,,,,,
116663,Monika PANAYOTOVA,Bulgaria,EPP,Citizens for European Development of Bulgaria,European Parliament,MEP,Member of the Advisory Board of the Bulgarian Memory Foundation,NGOs,NGOs,no,,https://www.linkedin.com/in/monika-panayotova-phd-113a00a2,,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/116663_06-12-2012.pdf,,,,,,,,,,
116663,Monika PANAYOTOVA,Bulgaria,EPP,Citizens for European Development of Bulgaria,European Parliament,MEP,Program Manager “Europe” at the Sofia Defence Forum,Academia,Think tanks,no,,https://www.linkedin.com/in/monika-panayotova-phd-113a00a2,,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/116663_06-12-2012.pdf,,,,,,,,,,
96861,Nadezhda NEYNSKY,Bulgaria,EPP,Blue coalition,European Parliament,MEP,Ambassador of Bulgaria in Turkey,Elected office & public sector,Public sector,no,2,https://en.wikipedia.org/wiki/Nadezhda_Neynsky,,"MP of the Bulgian parliament, President of the SME Union, ",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/96861_28-03-2012.pdf,,,Check,,,,,,,
96861,Nadezhda NEYNSKY,Bulgaria,EPP,Blue coalition,European Parliament,MEP,Boardmember of SME Europe ,Private Sector,Business associations,yes ,,http://www.smeeurope.eu/introduction/team-2/,,"MP of the Bulgian parliament, President of the SME Union, ",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/96861_28-03-2012.pdf,,,,,,,,,,
96872,Nadja HIRSCH,Germany,ALDE,Free Democratic Party,European Parliament,MEP,"Head of Communications, Press Officer at Raisin GmbH
Verlagsgruppe Handelsblatt",Private Sector,Companies and Groups,no,,https://www.linkedin.com/in/nadjahirsch/en,,"Municicpal Councilor of Munich, ",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/96872_24-03-2012.pdf,,,,,,,,,,
97229,Niccolò RINALDI,Italy,ALDE,Italy of Values,European Parliament,MEP,Writer,Unknown,Unknown,Unknown,,https://it.wikipedia.org/wiki/Niccol%C3%B2_Rinaldi,,Self-employed,Private sector,Self-employed,http://www.europarl.europa.eu/ep-dif/97229_06-03-2012.pdf,,,,,,,,,,
96751,Nick GRIFFIN,United Kingdom,NI,British National Party,European Parliament,MEP,"Set up a new party, called British Unity, after being expelled from the British National Party",Elected office & public sector,Political parties,no,,https://britishunity2020.com/who-we-are/,,National Chairman of the British National Party ,Elected office and public sector,Political parties,http://www.europarl.europa.eu/ep-dif/96751_28-02-2012.pdf,,BNP,,,,,,,,
96737,Nicole KIIL-NIELSEN,France,Greens/EFA,Europe Ecology,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,,Administrator in the national education ,Elected office and public sector,Public sector,http://www.europarl.europa.eu/ep-dif/96737_28-02-2012.pdf,,,,,,,,,,
96960,Nicole SINCLAIRE,United Kingdom,NI,We Demand a Referendum,European Parliament,MEP,investigated for misspending EU money. Current occupation unknown ,Unknown,Unknown,Unknown,,http://www.bbc.com/news/uk-england-36762323,,"Political advisor to Mike Natrass, UKIP - UKIP West Midlands Chairman",Elected office and public sector,Political parties,http://www.europarl.europa.eu/ep-dif/96960_28-02-2012.pdf,,,TI UK: not in prison,,,,,,,
96660,Niki TZAVELA,Greece,EFDD,Popular Orthodox Rally,European Parliament,MEP,board of directors of the Arab International Women's Forum,NGOs,NGOs,no,2,http://www.aiwfonline.com/AboutUs/BoardOfDirectors.aspx,ΕΝΤΕΤΑΛΜΕΝΗ ΣΥΜΒΟΥΛΟΣ ΔΙΕΘΝΟΥΣ ΑΝΑΠΤΥΞΗΣ - ANTENNA TV GROUP3ΑΝΤΙΠΡΟΕΔΡΟΣ - ΙΔΡΥΜΑ ΚΟΚΚΑΛΗΑΝΤΙΠΡΟΕΔΡΟΣ Δ.Σ INTRACOM4ΜΕΛΟΣ Δ.Σ - ARAB INTERNTIONAL WOMENS FORUM,Executive director for International Development Anttena TV - Board member of the International Womans Forum ,Private sector,Companies and Groups ,http://www.europarl.europa.eu/ep-dif/rev/96660_01-03-2012_Rev2.pdf,,,,,,,,,,
96660,Niki TZAVELA,Greece,EFDD,Popular Orthodox Rally,European Parliament,MEP,Member of the Parliamentarians Network for conflict prevention,NGOs,NGOs,no,,http://pncp.net/members,ΕΝΤΕΤΑΛΜΕΝΗ ΣΥΜΒΟΥΛΟΣ ΔΙΕΘΝΟΥΣ ΑΝΑΠΤΥΞΗΣ - ANTENNA TV GROUP3ΑΝΤΙΠΡΟΕΔΡΟΣ - ΙΔΡΥΜΑ ΚΟΚΚΑΛΗΑΝΤΙΠΡΟΕΔΡΟΣ Δ.Σ INTRACOM4ΜΕΛΟΣ Δ.Σ - ARAB INTERNTIONAL WOMENS FORUM,Executive director for International Development Anttena TV - Board member of the International Womans Forum ,Private sector,Companies and Groups ,http://www.europarl.europa.eu/ep-dif/rev/96660_01-03-2012_Rev2.pdf,,,,,,,,,,
112760,Nikola VULJANIC,Croatia,GUE/NGL,Croatian Workers Party,European Parliament,MEP,Unknown but probably retired ,Unknown,Unknown,Unknown,,https://en.wikipedia.org/wiki/Nikola_Vuljani%C4%87,MP in Croatian parliament2Observer in the EU Parliament0000000,Engineer Studio Frigo ,Private Sector,Companies and Groups ,http://www.europarl.europa.eu/ep-dif/112760_03-07-2013.pdf,,,Probably retired,,,,,,,
99416,Nikolaos SALAVRAKOS,Greece,EFDD,popular Orthodox Rally,European Parliament,MEP,Born in 1946. Probably retired ,Others,Retired,no,,https://goo.gl/LxDw9o,ΑΝΤΙΠΡΟΕΔΡΟΣ ΔΣ ΙΩΝ. ΔΡΑΓΟΥΜΗΣ1ΔΙΚΗΓΟΡΟΣ2ΝΑΙΕΛΛΗΝΙΚΟ ΚΟΙΝΟΒΟΥΛΙΟΗΛΕΚΤΡΟΝΙΚΟ ΥΠΟΛΟΓΙΣΤΗ ΚΑΙ ΦΟΤΟΤΥΠΙΚΟΕΛΛΗΝΙΚΟ ΚΟΙΝΟΒΟΥΛΙΟ,"Foreign Minister,  Diplomatic Office of Pasok president Papandreu",Elected office and public sector,Public Sector,http://www.europarl.europa.eu/ep-dif/99416_19-03-2012.pdf,,LAOS,,,,,,,,
111823,Nikos CHRYSOGELOS,Greece,Greens/EFA,Ecologist Greencs,European Parliament,MEP,Head of Winds of Renewal social entreprise active in Greece,NGOs,NGOs,no,,http://www.annalindhfoundation.org/members/anemos-ananeosis-wind-renewal,MEMBER OF REGIONAL COUNCIL OF SOUTH AEGEANMEMBER OF MEDITTERRANEAN SOS NETWORK BOARDMEMBER OF ECOLOGIAC RECYCLYING SOCIETY'S COMMITTEEMEMBER OF REGIONAL COUNCIL OF SOUTH AEGEAN,Head of Researcher at Kykkos Cultural Centre ,Academia,Academic,http://www.europarl.europa.eu/ep-dif/111823_06-02-2012.PDF,,,Mostly implementing projects for refugees in Greece,,,,,,,
96947,Nora BERRA,France,PPE,Union for a Popular Movement,European Parliament,MEP,Regional Counsellor of Lyon Townhall,Elected office & public sector,Elected office,no,,https://fr.wikipedia.org/wiki/Nora_Berra,"Secrétaire d'Etat chargée des Aînés4Secrétaire d'Etat chargée de la Santé4Présidente de l'association ""Esprit Neuf""Présidente association ""Esprit Neuf""Holding ""JENOHA""","Secretary of State of all autonomies, Secretary of State for Health, President of the Association ""Esprit Neuf""",Elected office and public sector,Public sector,http://www.europarl.europa.eu/ep-dif/96947_11-07-2012.pdf,,UMP,,,,,,,,
1902,Norbert GLANTE,Germany,S&D,Social Democratic Party,European Parliament,MEP,Partner at PKS Kommunikations- und Strategieberatung GmbH,Private Sector,Consultancies,yes ,,https://www.linkedin.com/in/norbert-glante-a99835a3,MEP since 1994000Vertrauensmann der Landessparkasse Ost1000,MEP since 1994,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/1902_06-02-2012.PDF,,,Recheck how much focus on EU lobbying or just German lobbying?,,,,,,,
96974,Nuno TEIXEIRA,Portugal,EPP,Social Democratic Party,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,Adjunto do gabinete do vicepresidente do Gov. Reg. Madeira20AdvogadoPresidente do cons. fiscal da Adm. - Ass. Madeira de desporto para todos,Deputy of the Office of the Vice-President of the Gov. Reg. Madeira -  President of cons. Tax of the Adm. - Ass. Wood for sports for all,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/96974_02-02-2012.pdf,,,Confirm,,,,,,,
28323,Oldrich VLASÁK,Czech Republic,ECR,Civic Democratic Party,European Parliament,MEP,Councillor for the Kralove region  ,Elected office & public sector,Elected office,no,2,https://cs.wikipedia.org/wiki/Ivo_Strej%C4%8Dek,,"Supervisory boardmember of Aldis inc., Mayor of Hradec Kralove, Boardmember of the Hradec Kralove Hockey Club, Boardmember of EBEH inc., Boardmember Foglarova, Boardmember of various other companies",Private sector,Companies and Groups ,http://www.europarl.europa.eu/ep-dif/28323_17-01-2012.pdf,,,,,,,,,,
28323,Oldrich VLASÁK,Czech Republic,ECR,Civic Democratic Party,European Parliament,MEP,municipal councilor for the town of Hrqdjec Kralove,Elected office & public sector,Elected office,no,,https://cs.wikipedia.org/wiki/Ivo_Strej%C4%8Dek,,"Supervisory boardmember of Aldis inc., Mayor of Hradec Kralove, Boardmember of the Hradec Kralove Hockey Club, Boardmember of EBEH inc., Boardmember Foglarova, Boardmember of various other companies",Private sector,Companies and Groups ,http://www.europarl.europa.eu/ep-dif/28323_17-01-2012.pdf,,,,,,,,,,
119440,Oleg VALJALO,Croatia,S&D,Social Democratic Party,European Parliament,MEP,"Member of the board, Hrvatska Lutrija (Online Gambling website)",Private Sector,Companies and Groups,no,,https://goo.gl/cQND4c,"Vlada RH, ministerstvo turizma
Zamjetnik Ministra2Jadranski Luksuzni hotel d.o.o. Član Uprave2Hotel Dubrovnik Palace d.o.o. Direktora financija200000",Worked at Ministry of Tourism,Elected office and public sector,Public sector,http://www.europarl.europa.eu/ep-dif/119440_02-07-2013.pdf,,,,,,,,,,
4274,Olle SCHMIDT,Sweden,ALDE,Liberal People's Party,European Parliament,MEP,Senior Consultant at Hume Brophy,Private Sector,Consultancies,yes ,,https://corporateeurope.org/revolvingdoorwatch/cases/olle-schmidt,"Europaparlamentariker3Anstalld av Folkpartiet2Uppdrag för Moody's1Region Skana (Öresundskommitten)170Stiftelsen Momsteatern0Stiftelsen Pressorganisation0The Kangaroo Group0Söllskapet Politik & Näringsliv (SPN)0The European Parliament Financial Services Forum0Innehav av aktier och aktiefonder: Billerud (200 aktier), Boliden (500), SSAB (812), Skanska (288), Trelleborg (455), H&M (200), Axfood (200), SHB (300), Swedbank (350), Wihlborg (400), Ericsson (320), Telia Sonera (400), SHB fond, Bank of Ireland (15000), SHB räntemarknadsfond, Investor (350), Industivärden (500)","MEP, Work assignment for Moody's, Share owner of various equity funds ",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/4274_10-04-2012.pdf,,,,,,,,,,
97196,Oreste ROSSI,Italy,EFDD,North League,European Parliament,MEP,Unknown ,Unknown,Unknown,Unknown,,,,Accredited Parlamentary Assistant,Elected office and public sector,Public Sector,http://www.europarl.europa.eu/ep-dif/97196_27-02-2012.pdf,,LN,,,,,,,,
96708,Oriol JUNQUERAS VIES,Spain,Greens/EFA,Republican Left of Catalonia,European Parliament,MEP,Vice President of Catalan Government,Elected office & public sector,Elected office,no,,http://www.govern.cat/pres_gov/AppJava/govern/govern/consell-executiu/84/oriol-junqueras-vies.html?mode=static,"Univeristy professor in Barcelona, Myor","Univeristy professor in Barcelona, Myor",Academia,Academic,http://www.europarl.europa.eu/ep-dif/96708_15-06-2011.pdf,,,,,,,,,,
33991,Ovidiu Ioan SILAGHI,Romania,ALDE,National Liberal Party,European Parliament,MEP,Member of the Romanian Parliament (Chamber of Deputies) for Satu Mare County,Elected office & public sector,Elected office,no,,http://www.cdep.ro/pls/parlam/structura.mp?idm=290&leg=2012&cam=2,"Indemnizazie Deputat Parlamentul României2Indemnizatie Ministru al Transporturilor si Infrastructurii2Indemnizatie Presedinte Cons Administratie ""Romexpo""1Deputat Parlamentul României (Dec 2012-Sep 2013)12000Presedinte al Cons de Administratie Romexpo S.A. (2009-mai 2012)10000","MP of the Romanian Parliament, Member of the Ministry of transport and infrastructure ",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/33991_05-09-2013.pdf,,PNL,,,,,,,,
96808,Pablo ARIAS ECHEVERRÍA,Spain,EPP,People's Party,European Parliament,MEP,Member of the Administrative Council of Telemadrid,Elected office & public sector,Public sector,no,,http://transparencia.telemadrid.es/documentos/CONSEJO.Democratic Partyf,Asesor vocal expresidente gobierno de España200CEES Fundraising committee000,Senior advisor for Audit for the Government of Spain ,Elected office and public sector,Public sector,http://www.europarl.europa.eu/ep-dif/96808_29-02-2012.pdf,,PP,,,,,,,,
28133,Pál SCHMITT,Hungary,EPP,Fidesz–Hungarian Civic Union,European Parliament,MEP,Honorary president of the Hungarian Olympic Committee. Resigned as President of Hungary.,Elected office & public sector,Public sector,no,,https://en.wikipedia.org/wiki/P%C3%A1l_Schmitt,Unknown,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/28133_24-06-2009.pdf,,,,,,,,,,
21818,Paolo BARTOLOZZI,Italy,EPP,Forza italia ,European Parliament,MEP,Retired ,Others,Retired,no,,http://www.lanazione.it/cronaca/difesa-vitalizio-consiglieri-regionali-toscana-1.2622701,Consigliere Regionale della Toscana3Consigliere Comunale die Londa (Firenze)0000000,Regional counselor of the Londa Commune ,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/21818_28-03-2012.PDF,,,Article states that he is retired,,,,,,,
96711,Pascal CANFIN,France,Greens/EFA,Europe Ecology,European Parliament,MEP,Head of the French section of WWF,NGOs,NGOs,no,,,"MEP, Minister for Development ","MEP, Minister for Development ",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/96711_28-02-2012_Rev1.pdf,,,,,,,,,,
96983,Pascale GRUNY,France,PPE,Union for a Popular Movement,European Parliament,MEP,Senator in French senate,Elected office & public sector,Elected office,no,3,https://www.linkedin.com/in/pascale-gruny-b1929649,"Administrative and financial director in a transport company, Municipal Councilor","Administrative and financial director in a transport company, Municipal Councilor",Private sector,Companies and Groups ,http://www.europarl.europa.eu/ep-dif/96983_23-06-2009.pdf,,UMP,,,,,,,,
96983,Pascale GRUNY,France,PPE,Union for a Popular Movement,European Parliament,MEP, Vice-President of the Aisne Council,Elected office & public sector,Elected office,no,,https://www.linkedin.com/in/pascale-gruny-b1929650,"Administrative and financial director in a transport company, Municipal Councilor","Administrative and financial director in a transport company, Municipal Councilor",Private sector,Companies and Groups ,http://www.europarl.europa.eu/ep-dif/96983_23-06-2009.pdf,,,,,,,,,,
96983,Pascale GRUNY,France,PPE,Union for a Popular Movement,European Parliament,MEP,Director of Human Ressources and General finances at Groupe TUPPIN,Private Sector,Companies and Groups,no,,https://www.linkedin.com/in/pascale-gruny-b1929651,"Administrative and financial director in a transport company, Municipal Councilor","Administrative and financial director in a transport company, Municipal Councilor",Private sector,Companies and Groups ,http://www.europarl.europa.eu/ep-dif/96983_23-06-2009.pdf,,,,,,,,,,
2125,Pat the Cope GALLAGHER,Ireland,ALDE,Fianna Fáil,European Parliament,MEP,Member of the lower house of the Irish Parliament ,Elected office & public sector,Elected office,no,,https://goo.gl/NxZlc4,,"Member of the lower house of the Irish Parliament, Minister of State ",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/2125_21-03-2012.pdf,,,,,,,,,,
97026,Patrice TIROLIEN,France,S&D,Socialist Party,European Parliament,MEP,Retired,Others,Retired,no,,https://fr.wikipedia.org/wiki/Patrice_Tirolien,,Lawyer,Private Sector,Self-employed,http://www.europarl.europa.eu/ep-dif/97026_29-03-2012.pdf,,PS,,,,,,,,
115868,Patricia van der KAMMEN,Netherlands,NI,Party for Freedom,European Parliament,MEP,Member of the Noord Brabant Provincial Staten (regional assembly),Elected office & public sector,Elected office,no,2,https://www.linkedin.com/in/patricia-van-der-kammen-29334aa,Beleidsmedewerker Planing & control Universiteit van Tilburg (jan 2003 - october 2012)2Lid Provinciale Staate Noord-Brabant (vanaf 10 maart 2011)12948Lid Raad van Toezicht Studentensportraad Pendragon (Tilburg)0,"Policy Officer Planing & control Tilburg University, Member of Provincial government of Noord-Brabant, Boardmember of the studentsports council Pendragon ",Academia,Academic,http://www.europarl.europa.eu/ep-dif/115868_10-10-2012.pdf,,PVV,,,,,,,,
115868,Patricia van der KAMMEN,Netherlands,NI,Party for Freedom,European Parliament,MEP,Controller at Tilburg Universitz for Library and IT services,Academia,Academic,no,,,Beleidsmedewerker Planing & control Universiteit van Tilburg (jan 2003 - october 2012)2Lid Provinciale Staate Noord-Brabant (vanaf 10 maart 2011)12948Lid Raad van Toezicht Studentensportraad Pendragon (Tilburg)0,"Policy Officer Planing & control Tilburg University, Member of Provincial government of Noord-Brabant, Boardmember of the studentsports council Pendragon ",Academia,Academic,http://www.europarl.europa.eu/ep-dif/115868_10-10-2012.pdf,,,,,,,,,,
97344,Paul MURPHY,Ireland,GUE/NGL,Socialist Party,European Parliament,MEP,Member of Irish Parliament,Elected office & public sector,Elected office,no,,https://goo.gl/9Av3Z0,Accredited Parliamentary Assistant2No other mandateNoneSocialist Party National ExecutiveNo other incomeNoneNoneNoneNoneNone,unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/rev/97344_12-03-2012_Rev2.pdf,,,,,,,,,,
96793,Pawel Robert KOWAL,Poland,ECR,Law and Justice / Poland Comes First,European Parliament,MEP,Head of the national council of the Poland Comes First party,Elected office & public sector,Political parties,no,,http://polskarazem.pl/wladze-krajowe/,Poseł Na Sejm2PublicystaWykładowca akademicki0PublicystaWykładowcaWynajem Mieszkania (Vacation Rentals)1Instytut Spraw PublicznychKollegium Europa WschodnieyFundacja Nie Milé JakPolski Instytut Spraw Międzynarodowych (Polish Institute of International Affairs)Fundacja Energia Dla EuropyPisanie KsiazekPartia Polska Jest NajważniejszaPrzewodnicy00,"MP for the Polish Parliament, University lecturer ",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/96793_26-03-2013.pdf,,,,,,,,,,
96777,Pawel ZALEWSKI,Poland,EPP,Civic Platform,European Parliament,MEP,Board member: Instytut Obywatelski (research and policy institute for the Civic Platform),Academia,Academic,no,,https://pl.wikipedia.org/wiki/Pawe%C5%82_Zalewski,,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/96777_28-03-2012.pdf,,,Check this. Media?,,,,,,,
2081,Peter SKINNER,United Kingdom,S&D,Labour Party,European Parliament,MEP,Got jailed for 4 years in April 2016 for falsely claiming expenses as an MEP ,Others,Prison,no,,https://corporateeurope.org/revolvingdoorwatch/cases/peter-skinner,MEP (since 1994)00ButcherJoseph (Unremunerated Advisor)00000,"MEP, advisor for Butcher Joseph investment banking ",Private sector,Companies and Groups ,http://www.europarl.europa.eu/ep-dif/rev/2081_19-01-2012_Rev2.pdf,,,Expenses scandal conviction,,,,,,,
28170,Peter ŠTASTNÝ,Slovakia,EPP,Democratic and Christian Union–Democratic Party,European Parliament,MEP,Member of the Advisory board of the Nanovic Institute for European Studies. ,Academia,Academic,no,,http://nanovic.nd.edu/about/people/advisory-board/peter-stastny/,I was member of EP300Selection Com HHOP00000,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/28170_22-03-2012_Rev2.pdf,,,,,,,,,,
96823,Petru Constantin LUHAN,Romania,EPP,Democratic Liberal Party,European Parliament,MEP,Managing director of Fonduri Europene,Private Sector,Consultancies,yes ,,https://goo.gl/7HUYVl,Continental AG2VEKA AG2Petrom SA2Consiliu. Jud. Sv.10000000,"Unknown relationship to Continental AG, VEKA AG and Petrom SA",Private sector,Companies and Groups ,http://www.europarl.europa.eu/ep-dif/rev/96823_28-02-2012_Rev2.pdf,,,Consultancies specifically geared towards obtaining EU funding ,,,,,,,
112014,Phil BENNION,United Kingdom,ALDE,Liberal Democrats,European Parliament,MEP,"Chairman of the British group of ""liberal international"" and farmer ",Elected office & public sector,Political parties,no,,http://www.liberal-international.org/site/Committee_and_Working_Groups.html,Farmer (depends on salary)Free parking card at Birgmingham airport,"Professor, Universoity of Genova",Academia,Academic,http://www.europarl.europa.eu/ep-dif/rev/112014_19-06-2013_Rev2.pdf,,LibDem,Lobbying or not ? Probably political party,,,,,,,
107386,Phil PRENDERGAST,Ireland,S&D,Socialist Workers' Party,European Parliament,MEP,Self-employed at Clonmel healthcare ,Private Sector,Self-employed,no,,https://goo.gl/tliqMk,member of Seanad Eireann200Place 4 U00000,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/rev/107386_02-03-2012_Rev2.pdf,,PSOE,,,,,,,,
24030,Philip CLAEYS,Belgium,NI,Flemish Interest,European Parliament,MEP,Vice-President of the Vlaams Belang party ,Elected office & public sector,Political parties,no,,http://www.vlaamsbelang.org/partijbestuur/,"Lid voor het Europees Parlament3Vlaams Belang *2 unreadable words**unreadable word* EGMONT, *unreadable word*Europese Alliantie voor de Vrijheid",MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/24030_05-03-2013_Rev2.pdf,,,No furthe info available ,,,,,,,
105624,Philippe BOULLAND,France,EPP,Union for a Popular Movement,European Parliament,MEP,Doctor,Private Sector,Self-employed,no,,http://www.leparisien.fr/espace-premium/oise-60/cabinet-medical-menace-le-medecin-denonce-l-inaction-de-la-mairie-13-10-2016-6200046.php,,Director general of Foreign Affairs - Government de Catalunya,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/105624_03-03-2012.PDF,,UMP,,,,,,,,
2212,Philippe de VILLIERS,France,EFDD,Movement for france,European Parliament,MEP,President of the Movement for France,Private Sector,Companies and Groups,no,,https://fr.wikipedia.org/wiki/Philippe_de_Villiers,Président Conseil général Vendée (88-2010)2Député européen300000000000000000000Président Puy du Fou stratégieNon rémunéréPrésident Mouvement pour la FranceNon rémunéréDroits d'auteur 2012200000000000000000000000,"President of the General Council of Vendee, MEP, President of the Puy du Fou Cultural Parc, President of the Mouvement for France",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/2212_28-01-2012_Rev2.pdf,,,,,,,,,,
