host	date	location	title	guestid	guestname	cabinet
Commissioner Carlos Moedas	13/02/2015	Brussels	European Research Area	484959115993-15	Conference of European Schools for Advanced Engineering Education and Research	
Commissioner Carlos Moedas	12/02/2015	Brussels	Energy Union, Digital Single Market, Horizon 2020	260656615546-60	Conseil de Coopération Economique	
Commissioner Carlos Moedas	05/02/2015	Brussels	Horizon 2020 and the Agro-food sector in Portugal	68374528625-72	Confederação dos Agricultores de Portugal	
Commissioner Carlos Moedas	02/02/2015	Brussels	Meeting with the European Bioeconomy Alliance on the Bioeconomy Strategy	49679062863-35	COMITE EUROPEEN des FABRICANTS de SUCRE	
Commissioner Carlos Moedas	02/02/2015	Brussels	Meeting with the European Bioeconomy Alliance on the Bioeconomy Strategy	3647455667-08	Conféderation Européenne des Propriétaires Forestiers	
Commissioner Carlos Moedas	02/02/2015	Brussels	Meeting with the European Bioeconomy Alliance on the Bioeconomy Strategy	44856881231-49	European Farmers	
Commissioner Carlos Moedas	02/02/2015	Brussels	Meeting with the European Bioeconomy Alliance on the Bioeconomy Strategy	09586631237-74	European agri-cooperatives	
Commissioner Carlos Moedas	02/02/2015	Brussels	Meeting with the European Bioeconomy Alliance on the Bioeconomy Strategy	32591134448-30	European Producers Union of Renewable Ethanol	
Commissioner Carlos Moedas	02/02/2015	Brussels	Meeting with the European Bioeconomy Alliance on the Bioeconomy Strategy	1298286943-59	EuropaBio	
Commissioner Carlos Moedas	02/02/2015	Brussels	Meeting with the European Bioeconomy Alliance on the Bioeconomy Strategy	96415319324-88	Forest-based Sector Technology Platform	
Commissioner Carlos Moedas	02/02/2015	Brussels	Meeting with the European Bioeconomy Alliance on the Bioeconomy Strategy	57787966531-03	STARCH EUROPE	
Commissioner Carlos Moedas	02/02/2015	Brussels	Contribution of EU Steel Industry to Research & Innovation	93038071152-83	The European Steel Association	
Commissioner Carlos Moedas	29/01/2015	Brussels	Contribution of venture capital to Research & Innovation	60975211600-74	European Private Equity and Venture Capital Association	
Commissioner Carlos Moedas	27/01/2015	Brussels	Future of Research and Innovation policies in the sector of wind energy	19920706471-21	European Wind Energy Association	
Commissioner Carlos Moedas	27/01/2015	Brussels	Cooperation between Galicia and the North of Portugal in R&I	99804774427-03	Universidade de Vigo	
Commissioner Carlos Moedas	26/01/2015	Brussels	Biomedical Research	01150446981-34	European Society of Cardiology	
Commissioner Carlos Moedas	23/01/2015	Davos	Bilateral meeting the CEO of Novartis & EFPIA President	91269481588-28	Novartis International AG	
Commissioner Carlos Moedas	23/01/2015	Davos	Meeting on Ebola research	75617941310-89	Johnson &amp; Johnson	
Commissioner Carlos Moedas	23/01/2015	Davos	Bilateral with the President and Executive Vice-President	00358442856-45	QUALCOMM Inc.	
Commissioner Carlos Moedas	22/01/2015	Brussels	Cooperation with the Bill & Melinda Gates Foundation	371567915480-41	Bill &amp; Melinda Gates Foundation	
Commissioner Carlos Moedas	20/01/2015	Brussels	Contribution of Finland universities to the EU Research Agenda	549499813585-41	Turku-Southwest Finland European office	
Commissioner Carlos Moedas	12/01/2015	Brussels	Presentation of COTEC and its activities to promote innovation in Portugal	407907815494-03	COTEC Portugal - Associação Empresarial para a Inovação	
Commissioner Carlos Moedas	18/12/2014	Brussels	European industry’s perspective on the future of EU research and innovation policy	38526121292-88	European Federation of Pharmaceutical Industries and Associations	
Commissioner Carlos Moedas	16/12/2014	Strasbourg	Meeting with MEP C. Turmes on xGWP – European Gigawatt Fab	612169815243-66	Ruggero Schleicher-Tappeser	
Commissioner Carlos Moedas	16/12/2014	Strasbourg	Meeting with MEP C. Turmes on xGWP – European Gigawatt Fab	35124436517-75	Fraunhofer-Gesellschaft	
Commissioner Carlos Moedas	16/12/2014	Strasbourg	Meeting with MEP C. Turmes on xGWP – European Gigawatt Fab	747645315242-57	Meyer Burger Technology AG	
Commissioner Carlos Moedas	09/12/2014	Brussels	Material research in Europe	774800715050-93	Faculdade de Ciências e Tecnologia da Universidade Nova de Lisboa	
Commissioner Carlos Moedas	09/12/2014	Brussels	Presentation of the activities of the Lisbon Council	6766950469-32	The Lisbon Council for Economic Competitiveness and Social Renewal asbl	
Commissioner Carlos Moedas	04/12/2014	Brussels	New technologies in the field of automotive, electric and connected vehicles in globalisation, EUCAR challenges.	0649790813-47	Association des Constructeurs Européens d&#039;Automobiles	
Commissioner Carlos Moedas	04/12/2014	Brussels	New technologies in the field of automotive, electric and connected vehicles in globalisation, EUCAR challenges.	unregistered	RENAULT	
Commissioner Carlos Moedas	01/12/2014	Capetown	European & Developing Countries Clinical Trials Partnership	371567915480-41	Bill &amp; Melinda Gates Foundation	
Commissioner Carlos Moedas	26/01/2014 (Cancelled)	Brussels	Biomedical Research	01150446981-34	European Society of Cardiology	
Alfredo Sousa De Jesus Antonio Lowndes Marques De Araujo Vicente Eveline Lecoq	26/02/2015	Brussels	Horizon 2020	012916315303-94	GECT PYRENEES-MEDITERRANEE	Cabinet members of Commissioner Carlos Moedas
Vygandas Jankunas Antonio Lowndes Marques De Araujo Vicente	26/02/2015	Brussels	research and innovation policies	17804464809-28	Euronext	Cabinet members of Commissioner Carlos Moedas
Vygandas Jankunas Antonio Lowndes Marques De Araujo Vicente	26/02/2015	Brussels	Horizon 2020, Research and Innovation policies	50213201578-64	Hitachi Corporate Office, Europe	Cabinet members of Commissioner Carlos Moedas
Maria Da Graca Carvalho	25/02/2015	Brussels, Belgium	Meeting with Mr William Gillet, EASAC Energy Programme	133236011647-58	European Academies&#039; Science Advisory Council	Cabinet members of Commissioner Carlos Moedas
Antonio Lowndes Marques De Araujo Vicente	24/02/2015	Brussels	Open Access, ERA, Innovation Union	823693912705-83	League of European Research Universities	Cabinet members of Commissioner Carlos Moedas
Giulia Del Brenna	18/02/2015	Brussels	Access to medicines and knowledge	534385811072-96	Transatlantic Consumer Dialogue	Cabinet members of Commissioner Carlos Moedas
Maria Da Graca Carvalho	17/02/2015	Brussels, Belgium	Meeting with the World Coal Association for presentation of proposal for the acceleration of coal use energy efficiency – PACE	3843982938-44	Hume Brophy	Cabinet members of Commissioner Carlos Moedas
Maria Da Graca Carvalho	17/02/2015	Brussels, Belgium	Meeting with PlasticsEurope on waste legislation	454264611835-56	PlasticsEurope Services SPRL	Cabinet members of Commissioner Carlos Moedas
Maria Da Graca Carvalho	17/02/2015	Brussels, Beigium	Meeting with EuroAce on Energy Union	99005441548-23	The European Alliance of Companies for Energy Efficiency in Buildings	Cabinet members of Commissioner Carlos Moedas
Vygandas Jankunas	13/02/2015	Brussels	Research Fund for Coal and Steel (RFCS)	93038071152-83	EUROFER	Cabinet members of Commissioner Carlos Moedas
Antonio Lowndes Marques De Araujo Vicente	11/02/2015	Brussels	Horizon 2020	173042412678-08	Max-Planck-Gesellschaft zur Förderung der Wissenschaften	Cabinet members of Commissioner Carlos Moedas
Eveline Lecoq	11/02/2015	Brussels	Prep meeting for meeting between the Commissioner and the BDI Committee for R&I&T-Policy	1771817758-48	Bundesverband der Deutschen Industrie e.V.	Cabinet members of Commissioner Carlos Moedas
Maria Da Graca Carvalho	10/02/2015	Brussels, Belgium	Meeting with CAN Europe	55888811123-49	Climate Action Network Europe	Cabinet members of Commissioner Carlos Moedas
Maria Da Graca Carvalho	10/02/2015	Brussels, Belgium	EUCAR (European Council for Automotive R&D) - New issues on simplification	0649790813-47	Association des Constructeurs Européens d&#039;Automobiles	Cabinet members of Commissioner Carlos Moedas
Antonio Lowndes Marques De Araujo Vicente	10/02/2015	Brussels	science and innovation	38526121292-88	European Federation of Pharmaceutical Industries and Associations	Cabinet members of Commissioner Carlos Moedas
Antonio Lowndes Marques De Araujo Vicente	10/02/2015	Brussels	H2020 and innovation	298788015846-34	Dassault Systèmes	Cabinet members of Commissioner Carlos Moedas
Maria Da Graca Carvalho	10/02/2015	Brussels, Belgium	NEREUS - Network of European Regions Using Space Technologies	unregistered	894707011106-07	Cabinet members of Commissioner Carlos Moedas
Antonio Lowndes Marques De Araujo Vicente	09/02/2015	Brussels	Innovation and creativity	16094042309-21	LVMH Publica	Cabinet members of Commissioner Carlos Moedas
Eveline Lecoq	05/02/2015	Brussels	Digitalisation of different sectors	42484704423-92	EU Strategy	Cabinet members of Commissioner Carlos Moedas
Eveline Lecoq	04/02/2015	Brussels	European research policy	75617941310-89	Johnson &amp; Johnson	Cabinet members of Commissioner Carlos Moedas
Maria Da Graca Carvalho	03/02/2015	European Commission	ISC Intelligence in Science	54291344113-16	ISC Intelligence in Science	Cabinet members of Commissioner Carlos Moedas
Giulia Del Brenna	02/02/2015	Brussels	Innovation policy of Confindustria	27762251795-15	Confederazione Generale dell&#039;Industria Italiana	Cabinet members of Commissioner Carlos Moedas
Vygandas Jankunas Antonio Lowndes Marques De Araujo Vicente	29/01/2015	Brussels	Research and innovation policies	84973761187-60	EuroCommerce	Cabinet members of Commissioner Carlos Moedas
Antonio Lowndes Marques De Araujo Vicente Vygandas Jankunas	29/01/2015	Brussels	Presentation of the activities of CEAtech	52774696782-43	Commissariat à l&#039;Energie atomique et aux énergies alternatives	Cabinet members of Commissioner Carlos Moedas
Antonio Lowndes Marques De Araujo Vicente Giulia Del Brenna	29/01/2015	Brussels	Preparation of EABC visit to the European Commission	56953548578-36	EUROPEAN AUSTRALIAN BUSINESS COUNCIL	Cabinet members of Commissioner Carlos Moedas
Vygandas Jankunas	27/01/2015	Brussels	Innovation for Europe	33858106461-10	Raiffeisen Zentralbank Österreich AG	Cabinet members of Commissioner Carlos Moedas
Giulia Del Brenna	16/01/2015	Brussels	Horizon 2020 SME Instrument	768897711187-83	Unioncamere Lombardia	Cabinet members of Commissioner Carlos Moedas
Antonio Lowndes Marques De Araujo Vicente Maria Da Graca Carvalho	15/01/2015	Brussels	Research and Innovation policy	39912257528-48	Confederation of Swedish Enterprise	Cabinet members of Commissioner Carlos Moedas
Giulia Del Brenna	15/01/2015	Brussels	Meeting on principles of scientific advice	9832909575-41	Greenpeace European Unit	Cabinet members of Commissioner Carlos Moedas
Giulia Del Brenna	15/01/2015	Brussels	Meeting on principles of scientific advice	5353162366-85	Corporate Europe Observatory	Cabinet members of Commissioner Carlos Moedas
Giulia Del Brenna	15/01/2015	Brussels	Meeting on principles of scientific advice	00723343929-96	Health &amp; Environment Alliance	Cabinet members of Commissioner Carlos Moedas
Maria Da Graca Carvalho	12/01/2015	Brussels	Horizon 2020	64879142323-90	European Chemical Industry Council, Dr Gernot Klotz	Cabinet members of Commissioner Carlos Moedas
Maria Da Graca Carvalho	08/01/2015	Brussels, Belgium	Research in global healt, R&D	32018754890-28	DSW (Deutsche Stiftung Weltbevoelkerung) 	Cabinet members of Commissioner Carlos Moedas
Vygandas Jankunas	06/01/2015	Brussels	European Business Summit 2015	268958411031-65	European Business Summit Network	Cabinet members of Commissioner Carlos Moedas
Giulia Del Brenna	19/12/2014	Brussels	Innovative Medecines Initiative / Ebola crisis	38526121292-88	European Federation of Pharmaceutical Industries and Associations	Cabinet members of Commissioner Carlos Moedas
Giulia Del Brenna	16/12/2014	Brussels	Participation of Serbia in Horizon 2020	630316815275-72	Balkan Security Network	Cabinet members of Commissioner Carlos Moedas
Maria Da Graca Carvalho	02/12/2014	Brussels	Biomedical research in Europe	567788614987-34	European Academy of Allergy and Clinical Immunology	Cabinet members of Commissioner Carlos Moedas
Director-General Jerzy Bogdan Plewa	13/03/2015	DG AGRI, Rue de la Loi 130	Réglementation agricole européenne dans le secteur du vin	unregistered	CNIV - Comité National des interprofessions à appelation d&#039;origine et indication géographique	
Director-General Nadia Maria Calvino Santamaria	02/02/2015	European Commission Brussels, Ms Calviño's office	ABAC Framework Contract	53994278504-37	Deloitte Services &amp; Investments	
Director-General Jos Delbeke	09/03/2015	Brussels	CCS - Carbon Capture and Storage	unregistered	Carbon Capture and Storage Association	
Director-General Jos Delbeke	04/03/2015	Brussels	Market Stability Reserve	05001306886-41	Statnett	
Director-General Jos Delbeke	04/03/2015	Brussels	Market Stability Reserve	94944179052-82	Sandbag	
Director-General Jos Delbeke	26/02/2015	Brussels	COP21	unregistered	Environmental Defense Fund	
Director-General Jos Delbeke	24/02/2015	Brussels	COP21	042086716078-96	Climate Advisers	
Director-General Jos Delbeke	17/02/2015	Brussels	MSR and EU ETS	1771817758-48	Bundesverband der Deutschen Industrie e.V.	
Director-General Jos Delbeke	12/02/2015	Brussels	Introduction, Business Overview & Presence in Europe; Post 2020 CO2 emission targets for cars; CWP; EU Climate and Energy Framework	unregistered	Ford of Europe	
Director-General Jos Delbeke	11/02/2015	Brussels	ETS	93038071152-83	EUROFER	
Director-General Jos Delbeke	20/01/2015	Brussels	Economic analysis and implementation 2030	374871715438-02	Vivid Economics Ltd	
Director-General Jos Delbeke	19/12/2014	Brussels	Carbon Capture and Storage	unregistered	ZERO EMISSION PLATFORM	
Director-General Jos Delbeke	04/12/2014	Brussels, Belgium	Implementation of the 2030 Package	255859710443-50	Polish Electricity Association	
Director-General Robert Madelin	27/02/2015	Brussels	DSM, Copyright	unregistered	Fabian Paagman, Tim Godfray, Matthieu de Lombard de Montchalin, Tim Walker, Julia Walker and Françoise Dubruille from European and International Booksellers Federation	
Director-General Robert Madelin	25/02/2015	Copenhagen	DSM	5749958415-41	Confederation of Danish Industry	
Director-General Robert Madelin	24/02/2015	Brussels	DSM, NN	92442218459-37	AT&amp;T, Inc.	
Director-General Robert Madelin	19/02/2015	Brussels	Euronews-Commission cooperation	944964416106-32	Euronews	
Director-General Robert Madelin	18/02/2015	Brussels	Digital Social Innovation	741169516071-01	The Young Foundation	
Director-General Robert Madelin	17/02/2015	Brussels	Health and JCJ Goals	unregistered	European Steering Group for sustainable healthcare	
Director-General Robert Madelin	17/02/2015	Brussels	DSM	798071410461-65	PRS for Music	
Director-General Robert Madelin	16/02/2015	Brussels	DSM, EFIS	20210641335-88	Orgalime	
Director-General Robert Madelin	16/02/2015	Brussels	DSM	unregistered	Sheila Cassells, Christine Maury-Panis and Viaccess-Orca from Audiovisual Anti-Piracy Alliance (AAAP)	
Director-General Robert Madelin	12/02/2015	Brussels	DSM, Innovation	unregistered	Jan Ahlskog (ERF), Max Bentinck (ERF), Paul Leonard (Innovation Principle Taskforce), Dessa Langevoort (BASF), Filip Cnudde (Dow), Bernd Halling (Bayer), Elisa Molino (IBM), Joaquin De Santos (Novartis), Eduardo Menchaca (Dupont), Hubert Petre (Henkel), Nathalie Moll (EuropaBio), Angel Martin (Dow), Anne Cavendish (Statoil), Dessa Langevoort (BASF), Alexander Molterer (Dow) and Cynthia Sanfilippo (Dow Corning) - European Risk Forum Event 	
Director-General Robert Madelin	03/02/2015	Brussels	DSM	4456380381-30	European Publishers Council	
Director-General Robert Madelin	03/02/2015	Brussels	DSM	unregistered	Ron Mobed from Elsevier	
Director-General Robert Madelin	03/02/2015	Brussels	DSM	338398611148-62	Elsevier	
Director-General Robert Madelin	29/01/2015	Brussels	DSM/Copyright	36529354479-57	Groupement Européen des Sociétés d&#039;Auteurs et Compositeurs	
Director-General Robert Madelin	29/01/2015	Brussels	DSM	654861413162-14	Royal Mail	
Director-General Robert Madelin	27/01/2015	Brussels	Juncker Priorities and DSM	40471017282-57	Samsung	
Director-General Robert Madelin	27/01/2015	Brussels	Risk and Regulation	686307915714-89	Universität Stuttgart	
Director-General Robert Madelin	15/01/2015	Brussels	Copyright, Platform regulation, music futures	60394321918-91	IFPI Representing recording industry worldwide	
Director-General Robert Madelin	15/01/2015	Brussels	Copyright, Platform regulation, music futures	60394321918-91	IFPI Representing recording industry worldwide	
Director-General Robert Madelin	14/01/2015	Brussels	DMS and TSM	unregistered	Michael Bartholomew from Bartholomew Advisors SCS	
Director-General Robert Madelin	13/01/2015	Brussels	MSS, DAG, Third Package review and Innovation	unregistered	Dirk Hudig from Inmarsat/FIPRA International Limited	
Director-General Robert Madelin	13/01/2015	Brussels	MSS, DAG, Third Package review and Innovation	unregistered	Rupert Pearce from Inmarsat/FIPRA International Limited	
Director-General Robert Madelin	13/01/2015	Brussels	MSS, DAG, Third Package review and Innovation	unregistered	Patrick McDougal from Inmarsat/FIPRA International Limited	
Director-General Robert Madelin	13/01/2015	Brussels	MSS, DAG, Third Package review and Innovation	unregistered	Chris Mclaughlin from Inmarsat/FIPRA International Limited	
Director-General Robert Madelin	13/01/2015	Brussels	MSS, DAG, Third Package review and Innovation	unregistered	Ann Vandenbroucke from Inmarsat/FIPRA International Limited	
Director-General Robert Madelin	13/01/2015	Brussels	MSS, DAG, Third Package review and Innovation	unregistered	Ukko Metsola from Inmarsat/FIPRA International Limited	
Director-General Robert Madelin	13/01/2015	Brussels	Davos Prospects	92442218459-37	AT&amp;T, Inc.	
Director-General Robert Madelin	12/01/2015	Brussels	DSM, Copyright and Innovation	unregistered	Federation of European Publishers	
Director-General Robert Madelin	12/01/2015	Brussels	DSM, Copyright and Innovation	unregistered	Federation of European Publishers	
Director-General Robert Madelin	12/01/2015	Brussels	DSM, Copyright and Innovation	unregistered	Federation of European Publishers	
Director-General Robert Madelin	12/01/2015	Brussels	DSM, Copyright and Innovation	unregistered	Federation of European Publishers	
Director-General Robert Madelin	12/01/2015	Brussels	DSM, Copyright and Innovation	unregistered	Federation of European Publishers	
Director-General Robert Madelin	12/01/2015	Brussels	DSM, Copyright and Innovation	unregistered	Federation of European Publishers	
Director-General Robert Madelin	12/01/2015	Brussels	DSM, Copyright and Innovation	unregistered	Federation of European Publishers	
Director-General Robert Madelin	12/01/2015	Brussels	DSM, Copyright and Innovation	unregistered	Federation of European Publishers	
Director-General Robert Madelin	12/01/2015	Brussels	DSM, Copyright and Innovation	unregistered	Federation of European Publishers	
Director-General Robert Madelin	12/01/2015	Brussels	DSM, Copyright and Innovation	unregistered	Federation of European Publishers	
Director-General Robert Madelin	12/01/2015	Brussels	DSM, Copyright and Innovation	unregistered	Federation of European Publishers	
Director-General Robert Madelin	12/01/2015	Brussels	DSM, Copyright and Innovation	unregistered	Federation of European Publishers	
Director-General Robert Madelin	08/01/2015	Brussels	DSM	9505781573-45	Bureau Européen des Unions de Consommateurs	
Director-General Robert Madelin	08/01/2015	Brussels	DSM	9505781573-45	Bureau Européen des Unions de Consommateurs	
Director-General Robert Madelin	08/01/2015	Brussels	DSM	9505781573-45	Bureau Européen des Unions de Consommateurs	
Director-General Robert Madelin	06/01/2015	Brussels	H2020	91408765797-03	European Association Automotive Suppliers	
Director-General Robert Madelin	06/01/2015	Brussels	H2020	91408765797-03	European Association Automotive Suppliers	
Director-General Robert Madelin	06/01/2015 (Cancelled)	Brussels	H2020	91408765797-03	European Association Automotive Suppliers	
Director-General Robert Madelin	17/12/2014	Brussels, Belgium	Science and EU Policy	unregistered	Kings College London	
Director-General Robert Madelin	17/12/2014	Brussels, Belgium	Digital Single Market	844895011136-19	Joop Hazenberg, DPA	
Director-General Robert Madelin	09/12/2014	Brussels	eHealth, Silver Economy and EU-Japan co-operation	246330915180-10	Japan Business Machine and Information System Industries Association	
Director-General Robert Madelin	09/12/2014	Brussels	eHealth, Silver Economy and EU-Japan co-operation	246330915180-10	Japan Business Machine and Information System Industries Association	
Director-General Robert Madelin	09/12/2014	Brussels	Copyright reform, Future media regulation, EU digital single market strategy and Start Up Europe	26103486608-47	Bertelsmann SE &amp; Co. KGaA	
Director-General Robert Madelin	09/12/2014	Brussels	Copyright reform, Future media regulation, EU digital single market strategy and Start Up Europe	26103486608-47	Bertelsmann SE &amp; Co. KGaA	
Director-General Robert Madelin	04/12/2014	Berlin	ICT Labs - cooperation with DG CONNECT	unregistered	Mr. Henning Kagermann, Chair of Executive Steering Board EIT ICT Labs	
Director-General Robert Madelin	04/12/2014	Berlin	Open Innovation	unregistered	Future Internet PPP Advisory Board	
Director-General Alexander Italianer	25/02/2015	CBI Brussels	Competition issues	73725676990-18	Confederation of British Industry	
Director-General Alexander Italianer	26/01/2015	Brussels, BELGIUM	The European Chamber’s Position Paper and the position of the chamber regarding recent anti-trust developments in China	592343015058-67	European Union Chamber of Commerce in China	
Director-General Alexander Italianer	16/01/2015	Brussels/Belgium	A review of upcoming competition policy trends for 2015	68700057230-72	Biontino Europe	
Director-General Michel Servoz	12/02/2015	Bruxelles	Meeting with Social Partners	06698681039-26	EUROPEAN TRADE UNION CONFEDERATION	
Director-General Michel Servoz	12/02/2015	Bruxelles	Meeting with Social Partners	3978240953-79	Businesseurope	
Director-General Michel Servoz	12/02/2015	Bruxelles	Meeting with Social Partners	55820581197-35	UEAPME	
Director-General Michel Servoz	12/02/2015	Bruxelles	Meeting with Social Partners	59513031434-92	CEEP - European Centre of Employers and Enterprises providing Public Services	
Director-General Michel Servoz	26/01/2015	Brussels	Meeting with social partners	06698681039-26	EUROPEAN TRADE UNION CONFEDERATION	
Director-General Michel Servoz	26/01/2015	Brussels	Meeting with social partners	55820581197-35	UEAPME	
Director-General Michel Servoz	26/01/2015	Brussels	Meeting with social partners	59513031434-92	CEEP - European Centre of Employers and Enterprises providing Public Services	
Director-General Michel Servoz	26/01/2015	Brussels	Meeting with social partners	3978240953-79	Businesseurope	
Director-General Michel Servoz	26/01/2015	Brussels	prochaines assises sur le thème des Banques Alimentaires et l’inclusion sociale	79355099508-47	Fédération européenne des Banques Alimentaires	
Director-General Michel Servoz	19/01/2015	Brussels	to present the impact of the Alliances’ work and lessons learnt	3945154610-54	European Anti Poverty Network	
Director-General Michel Servoz	19/01/2015	Brussels	to present the impact of the Alliances’ work and lessons learnt	79360311166-84	Jana Hainsworth, Secretary General of Eurochild	
Director-General Michel Servoz	14/01/2015	Brussels	Meeting with Social Partners	06698681039-26	EUROPEAN TRADE UNION CONFEDERATION	
Director-General Michel Servoz	14/01/2015	Brussels	Meeting with Social Partners	59513031434-92	CEEP - European Centre of Employers and Enterprises providing Public Services	
Director-General Michel Servoz	14/01/2015	Brussels	Meeting with Social Partners	55820581197-35	UEAPME	
Director-General Michel Servoz	14/01/2015	Brussels	Meeting with Social Partners	3978240953-79	Businesseurope	
Director-General Michel Servoz	16/12/2014	Bruxelles	Presentation of Feantsa's activities and discussion of policy responses to combat homelessness	42528706153-39	FEANTSA 	
Director-General Michel Servoz	16/12/2014	Bruxelles	Presentation of Feantsa's activities and discussion of policy responses to combat homelessness	unregistered	Ms Liz Gosme	
Director-General Michel Servoz	16/12/2014	Bruxelles	Presentation of Feantsa's activities and discussion of policy responses to combat homelessness	42528706153-39	FEANTSA	
Director-General Michel Servoz	12/12/2014	Evere - Belgium	Toyota's challenges in Europe in terms of recruitment, employment protection legislation, skills and competitiveness	unregistered	Mr Leroy - CEO Europe	
Director-General Michel Servoz	05/12/2014	Brussels - Belgium	Micro-finance	429752015099-90	Maria Nowak	
Director-General Michel Servoz	05/12/2014	Brussels - Belgium	Micro-finance	458157215116-10	Pierre Valentin 	
Director-General Michel Servoz	05/12/2014	Brussels - Belgium	Micro-finance	977980112556-82	Dominique de Crayencour	
Director-General Dominique Ristori	29/01/2015	European Energy Policy priorities	Oil and gas exploration	142134115688-51	Kosmos Energy	
Director-General Dominique Ristori	27/01/2015	Brussels, Belgium	European Energy Policy priorities	4447605981-76	Statoil	
Director-General Dominique Ristori	27/01/2015	Brussels, Belgium	European Energy Policy priorities	656322315335-91	Association française du gaz	
Director-General Dominique Ristori	27/01/2015	Brussels, Belgium	Nordic gas market	759978215122-11	Gasum Oy	
Director-General Dominique Ristori	26/01/2015	Brussels, Belgium	China	592343015058-67	European Union Chamber of Commerce in China	
Director-General Dominique Ristori	26/01/2015	Brussels, Belgium	Energy networks	68134637922-07	Electricité Réseau Distribution France	
Director-General Dominique Ristori	23/01/2015	Brussels, Belgium	Energy transition	793026615069-12	The Shift Project	
Director-General Dominique Ristori	22/01/2015	Brussels, Belgium	Oil and gas markets	94274031992-65	OMV Aktiengesellschaft	
Director-General Dominique Ristori	21/01/2015	Brussels, Belgium	European Energy Policy priorities	94944179052-82	Sandbag Climate Campaign	
Director-General Dominique Ristori	14/01/2015	Brussels, Belgium	South East Europe Energy policies	54210841652-13	Avisa Partners	
Director-General Dominique Ristori	14/01/2015	Brussels, Belgium	Energy Efficiency	88457577025-19	Euroheat &amp; Power	
Director-General Dominique Ristori	14/01/2015	Brussels, Belgium	Transmission & Distribution	00741337988-18	EWE AG	
Director-General Dominique Ristori	14/01/2015	Brussels, Belgium	European Energy Policy priorities	4016736872-59	General Electric	
Director-General Dominique Ristori	13/01/2015	Brussels, Belgium	Energy Efficiency	647629915338-36	Coalition France pour l&#039;efficacité énergétique	
Director-General Dominique Ristori	12/01/2015	Brussels, Belgium	Power spot markets	623791615310-21	EPEX SPOT	
Director-General Dominique Ristori	12/01/2015	Brussels, Belgium	Power spot markets	174304615349-26	APX Holding B.V.	
Director-General Dominique Ristori	12/01/2015	Brussels, Belgium	Power spot markets	289810215426-07	TenneT	
Director-General Dominique Ristori	12/01/2015	Brussels, Belgium	Gas Storage	72760517350-57	E.ON SE	
Director-General Dominique Ristori	12/01/2015	Brussels, Belgium	European Energy Policy priorities	unregistered	Edison	
Director-General Dominique Ristori	12/01/2015	Brussels, Belgium	Gas infrastructures	584527815328-09	GRTgaz	
Director-General Dominique Ristori	12/01/2015	Brussels, Belgium	Energy costs	93038071152-83	Eurofer	
Director-General Dominique Ristori	07/01/2015	Brussels, Belgium	Energy regulation	65470797015-89	Council of European Energy Regulators	
Director-General Dominique Ristori	07/01/2015	N/A	European Energy Policy priorities	7410939793-88	BASF SE	
Director-General Dominique Ristori	18/12/2014	Brussels, Belgium	Energy Efficiency	37816636575-51	European Alliance to Save Energy	
Director-General Dominique Ristori	16/12/2014	Brussels, Belgium	Energy Conference	72856225852-31	Business Bridge Europe	
Director-General Dominique Ristori	11/12/2014	Brussels, Belgium	European Energy Policy priorities	77608353460-77	RWE AG	
Director-General Dominique Ristori	11/12/2014	Brussels, Belgium	European Energy Policy priorities	41816938101-07	Iberdrola	
Director-General Dominique Ristori	11/12/2014	Brussels, Belgium	European Energy Policy priorities	99578067285-35	Eni S.p.A.	
Director-General Dominique Ristori	11/12/2014	Brussels, Belgium	European Energy Policy priorities	67833029261-54	Gas Natural	
Director-General Dominique Ristori	11/12/2014	Brussels, Belgium	European Energy Policy priorities	03501997362-71	Fortum	
Director-General Dominique Ristori	11/12/2014	Brussels, Belgium	European Energy Policy priorities	429600710582-32	ČEZ, a.s.	
Director-General Dominique Ristori	11/12/2014	Brussels, Belgium	European Energy Policy priorities	6256831207-27	ENEL SpA	
Director-General Dominique Ristori	11/12/2014	Brussels, Belgium	European Energy Policy priorities	48395175526-25	Gasterra	
Director-General Dominique Ristori	11/12/2014	Brussels, Belgium	European Energy Policy priorities	90947457424-20	GDF Suez	
Director-General Dominique Ristori	09/12/2014	Brussels, Belgium	Coopération Euro-Méditerranéenne	037570015082-12	IPEMED	
Director-General Dominique Ristori	04/12/2014	Brussels, Belgium	Energy Efficiency	42119616334-41	Food &amp; Water Europe	
Director-General Dominique Ristori	04/12/2014	Brussels, Belgium	Energy security	17909506129-41	Eurogas	
Director-General Dominique Ristori	03/12/2014	Brussels, Belgium	Market design	4271427696-87	Eurelectric	
Director-General Dominique Ristori	03/12/2014	Brussels, Belgium	Italian and EU Energy market	937812815077-68	Terna spa	
Director-General Dominique Ristori	02/12/2014	Brussels, Belgium	EU Investment Plan	271912611231-56	Deutsche Bank	
Director-General Karl-Friedrich Falkenberg	04/03/2015	Bruxelles	Environmental impact including the sulphur directive, use of scrubbers.	69525934310-58	Cruise Lines International Association Europe	
Director-General Karl-Friedrich Falkenberg	25/02/2015	Bruxelles	Meeting with VDA präsident, Mr Matthias Wissmann on Air quality policy	95574664768-90	Verband der Automobilindustrie	
Director-General Karl-Friedrich Falkenberg	24/02/2015	Bruxelles	Meeting with Antonino Furfari - Plastics recyclers Europe on Circular Economy Plastics Recycling	00162715418-92	Plastics Recyclers Europe	
